cl_crc||cl_id||theme_libl
5||15918||Suivi gestion des services publics d'eau et d'assainissement
10||28786||Accueil de la petite enfance
21||17863||Finances publiques locales
21||17864||Finances publiques locales
21||17865||Finances publiques locales
21||18110||Enquête SIVU-SIVOM
21||17862||Finances publiques locales
21||21158||Enquête tourisme
23||14476||Hôpital : systèmes d'informations
28||22386||suivi enquête sur la gestion du domaine skiable en Rhône-Alpes
28||24882||Les politiques CL et Et Publics en faveur du spectacle vivant
32||23473||Hôpital : systèmes d'informations
32||21928||Hôpital : systèmes d'informations
32||20275||Transports publics urbains de voyageurs
32||22052||Le haut-débit
32||21939||Le haut-débit
32||23594||Gestion des piscines et des centres aquatiques publics
32||23566||TR: construction et entretien des collèges
32||23473||Hôpital: la politique des achats hospitaliers
33||21896||Finances publiques locales
33||21095||Haut débit
34||9692||Fiabilité des comptes EPS
34||9693||Immobilier des collectivités locales
34||9882||Gestion du stationnement urbain
34||9882||Finances publiques locales
34||9881||Finances publiques locales
34||9881||GPRH des collectivités territoriales
34||17716||piscines et centres aquatiques
34||17775||piscines et centres aquatiques
34||17783||politiques du tourisme
34||17788||piscines et centres aquatiques
35||7542||Intercommunalité
35||23722||Pôle juridictionnel - programme en cours
35||22680||Pôle juridictionnel - programme en cours
35||13840||Pôle juridictionnel - Report programmes précédents
36||18571||FIJ Haut Débit
36||18439||CRC APC Enquête Littoral
36||18653||CRC APC Enquête état des lieux fusion / GRH
36||23180||FIJ Rémunération temps de travail personnel sécurité civile
36||23178||FIJ Rémunération temps de travail personnel sécurité civile
36||23173||FIJ CCI
